director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
WoodyAllen,WoodyAllen,CharlotteRae,LouiseLasser,comedy,Bananas,WoodyAllen CharlotteRae LouiseLasser WoodyAllen comedy
SimonYin,PaulSheehan,LinusRoache,KathyUyen,thriller,Supercapitalist,PaulSheehan LinusRoache KathyUyen SimonYin thriller
JeffCrook,NicholasGonzalez,MarioCimarro,RicardoChavira,action crime drama thriller,Rockaway,NicholasGonzalez MarioCimarro RicardoChavira JeffCrook action crime drama thriller
JeffCrook,StevenWeber,TimDaly,AmyYasbeck,comedy drama,Wings            ,StevenWeber TimDaly AmyYasbeck JeffCrook comedy drama
OrsonWelles,RitaHayworth,EverettSloane,TeddeCorsia,crime drama film-noir mystery thriller,The Lady from Shanghai,RitaHayworth EverettSloane TeddeCorsia OrsonWelles crime drama film-noir mystery thriller
DavePayne,MirceaMonroe,LewTemple,RobertPine,horror thriller,No Man's Land: The Rise of Reeker,MirceaMonroe LewTemple RobertPine DavePayne horror thriller
JamesCox,JakeGyllenhaal,M.C.Gainey,MarkRolston,crime drama,Highway,JakeGyllenhaal M.C.Gainey MarkRolston JamesCox crime drama
JonasÅkerlund,NoelGugliemi,SaffronBurrows,MattLucas,comedy crime drama,Small Apartments,NoelGugliemi SaffronBurrows MattLucas JonasÅkerlund comedy crime drama
BradCopeland,SunilNarkar,BenSchwartz,GlennHowerton,comedy,Coffee Town,SunilNarkar BenSchwartz GlennHowerton BradCopeland comedy
PaulBunnell,KateMaberly,KevinMcCarthy,PaulWilliams,comedy fantasy musical sci-fi,The Ghastly Love of Johnny X,KateMaberly KevinMcCarthy PaulWilliams PaulBunnell comedy fantasy musical sci-fi
PhilMorrison,SallyHawkins,CurtissCook,PeterHermann,comedy drama,All Is Bright,SallyHawkins CurtissCook PeterHermann PhilMorrison comedy drama
HaraldReinl,ChristopherLee,LexBarker,KarinDor,horror mystery,The Torture Chamber of Dr. Sadism,ChristopherLee LexBarker KarinDor HaraldReinl horror mystery
JamesCox,JonMack,PowersBoothe,JoshMeyers,comedy drama,Straight A's,JonMack PowersBoothe JoshMeyers JamesCox comedy drama
RichardLester,BusterKeaton,ZeroMostel,PhilSilvers,comedy musical,A Funny Thing Happened on the Way to the Forum,BusterKeaton ZeroMostel PhilSilvers RichardLester comedy musical
MichaelMoore,MichaelMoore,EddieVedder,SteveEarle,documentary,Slacker Uprising,MichaelMoore EddieVedder SteveEarle MichaelMoore documentary
TannerBeard,WilliamMcNamara,KevinAlejandro,GlennMorshower,action adventure history western,The Legend of Hell's Gate: An American Conspiracy,WilliamMcNamara KevinAlejandro GlennMorshower TannerBeard action adventure history western
ScottDow,TrentonRostedt,WrayCrawford,DaveSheridan,comedy horror,The Walking Deceased,TrentonRostedt WrayCrawford DaveSheridan ScottDow comedy horror
DerickMartini,KevinZegers,BellaHeathcote,TomArnold,drama horror mystery thriller,The Curse of Downers Grove,KevinZegers BellaHeathcote TomArnold DerickMartini drama horror mystery thriller
JerryDugan,MelissaBolona,MichaelAaronMilligan,JamesChalke,thriller,Shark Lake,MelissaBolona MichaelAaronMilligan JamesChalke JerryDugan thriller
TimHunter,KeanuReeves,DanielRoebuck,IoneSkye,crime drama,River's Edge,KeanuReeves DanielRoebuck IoneSkye TimHunter crime drama
MichaelPolish,PeterCoyote,AnthonyEdwards,JonGries,drama fantasy,Northfork,PeterCoyote AnthonyEdwards JonGries MichaelPolish drama fantasy
WilliamKaufman,PaulMcGillion,Mike'TheMiz'Mizanin,DavidLewis,action thriller,The Marine 4: Moving Target,PaulMcGillion Mike'TheMiz'Mizanin DavidLewis WilliamKaufman action thriller
RodrigoCortés,RyanReynolds,SamanthaMathis,ErikPalladino,drama mystery thriller,Buried,RyanReynolds SamanthaMathis ErikPalladino RodrigoCortés drama mystery thriller
RichardAyoade,CraigRoberts,PaddyConsidine,SallyHawkins,comedy drama romance,Submarine,CraigRoberts PaddyConsidine SallyHawkins RichardAyoade comedy drama romance
JehaneNoujaim,KhalidAbdalla,AhmedHassan,AidaElkashef,documentary drama history news,The Square,KhalidAbdalla AhmedHassan AidaElkashef JehaneNoujaim documentary drama history news
PascalArnold,KarlE.Landler,LizzieBrocheré,PierrePerrier,drama,One to Another,KarlE.Landler LizzieBrocheré PierrePerrier PascalArnold drama
KimberlyPeirce,ChloëGraceMoretz,JudyGreer,PortiaDoubleday,drama fantasy horror,Carrie,ChloëGraceMoretz JudyGreer PortiaDoubleday KimberlyPeirce drama fantasy horror
Remo,LaurenGottlieb,Remo,Prabhudheva,drama musical,ABCD (Any Body Can Dance),LaurenGottlieb Remo Prabhudheva Remo drama musical
WesCraven,JohnnyDepp,LinShaye,AmandaWyss,horror,A Nightmare on Elm Street,JohnnyDepp LinShaye AmandaWyss WesCraven horror
JamesMarsh,PaulMcGill,PhilippePetit,Jean-LouisBlondeau,biography crime documentary history thriller,Man on Wire,PaulMcGill PhilippePetit Jean-LouisBlondeau JamesMarsh biography crime documentary history thriller
JohnLaing,SiobhanMarshall,PeterFeeney,RachelNash,drama,Abandoned,SiobhanMarshall PeterFeeney RachelNash JohnLaing drama
JamalHill,LoganBrowning,AdamRatcliffe,FaizonLove,drama,Brotherly Love,LoganBrowning AdamRatcliffe FaizonLove JamalHill drama
DanielStamm,CalebLandryJones,AshleyBell,PatrickFabian,drama horror thriller,The Last Exorcism,CalebLandryJones AshleyBell PatrickFabian DanielStamm drama horror thriller
SamTaylor-Johnson,KristinScottThomas,OpheliaLovibond,Anne-MarieDuff,biography drama music,Nowhere Boy,KristinScottThomas OpheliaLovibond Anne-MarieDuff SamTaylor-Johnson biography drama music
EliaKazan,MarlonBrando,KarlMalden,KimHunter,drama,A Streetcar Named Desire,MarlonBrando KarlMalden KimHunter EliaKazan drama
StanleyKubrick,GeorgeC.Scott,SlimPickens,KeenanWynn,comedy,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,GeorgeC.Scott SlimPickens KeenanWynn StanleyKubrick comedy
